Lab ID,Site Name,County,State,Country,14C Age,14C Error,95% Confidence Interval BP,Median cal BP,Median cal BC/AD,GDD,Elevation,References
Beta-132510,Guilá Naquitz,NA,Oaxaca,Mexico,5410,40,6295 to 6014,6226,-4277,3471.019238,1935,
Beta-344171,Las Capas,Pima,Arizona,USA,4930,30,5719 to 5594,5643,-3694,3797.177435,670.3599243,
Beta-185023,Old Corn,Catron,New Mexico,USA,3810,50,4405 to 4012,4205,-2256,1938.796083,1909.348877,
Beta-26275,Three Fir Shelter,Navajo,Arizona,USA,3610,170,4406 to 3493,3931,-1982,1581.782297,2194.436768,
Beta-360453,Eagles Watch,Kane,Utah,USA,2980,30,3323 to 3007,3155,-1206,2103.743709,1489.246826,
Beta-95272,Six Toe Shelter,San Juan,Utah,USA,2360,80,2707 to 2157,2424,-475,2171.843534,1464.860718,
Beta-36438,Cottonwood Cave,Montrose,Colorado,USA,2220,80,2355 to 1999,2213,-264,827.6758137,2768.47876,
Beta-13414,42SV2111,Sevier,Utah,USA,2140,100,2344 to 1881,2121,-172,1696.25312,1674.854248,
Beta-283900,Eagle Rock Shelter,Delta,Colorado,USA,1940,40,1982 to 1743,1862,88,1873.008045,1546.065186,
Beta-36605,Juniper Ledge Shelter,Uintah,Utah,USA,1650,80,1707 to 1376,1533,417,1490.627401,1785.192261,
Beta-340988,Hot Spring Lake Site,Salt Lake,Utah,USA,1270,30,1286 to 1088,1221,729,1863.033854,1286.20813,
Beta-143631,Sonders Basket,Daggett,Utah,USA,1210,70,974 to 1040,1130,820,1362.016159,1959.710083,
Beta-226298,Finch Draw Shelter,Daggett,Utah,USA,1110,40,929 to 1074,1013,937,1313.969364,1894.610474,
Beta-379247,Willard Mounds,Box Elder,Utah,USA,1040,30,842 to 1028,944,1006,1676.324259,1284.667114,
