"Lab ID","Site Name","Median cal BC/AD","Euclidean Distance (Degrees)","Euclidean Distance (km)","Δ Degrees Euclidean Distance/Year","Δ km Euclidean Distance/Year","Δ Degrees North/Year","Δ km North/Year"
"Beta-132510","Guilá Naquitz",-4277,"NA","NA","NA","NA","NA","NA"
"Beta-344171","Las Capas",-3694,"21.253","2350.039","0.036","4.031","0.026","2.919"
"Beta-185023","Old Corn",-2256,"3.074","339.923","0.002","0.236","0.002","0.166"
"Beta-26275","Three Fir Shelter",-1982,"2.426","268.269","0.009","0.979","0.007","0.818"
"Beta-360453","Eagles Watch",-1206,"2.337","258.402","0.003","0.333","0.001","0.066"
"Beta-95272","Six Toe Shelter",-475,"2.894","320.031","0.004","0.438","0.000","0.044"
"Beta-36438","Cottonwood Cave",-264,"1.787","197.556","0.008","0.936","0.004","0.498"
"Beta-13414","42SV2111",-172,"4.079","450.976","0.044","4.902","0.004","0.475"
"Beta-283900","Eagle Rock Shelter",88,"4.294","474.792","0.017","1.826","0.000","0.044"
"Beta-36605","Juniper Ledge Shelter",417,"2.143","236.959","0.007","0.720","0.005","0.597"
"Beta-340988","Hot Spring Lake Site",729,"2.882","318.680","0.009","1.021","0.001","0.100"
"Beta-143631","Sonders Basket",820,"2.445","270.317","0.027","2.971","0.001","0.100"
"Beta-226298","Finch Draw Shelter",937,"0.138","15.217","0.001","0.130","0.001","0.055"
"Beta-379247","Willard Mounds",1006,"2.599","287.327","0.038","4.164","0.007","0.818"
